"",,"TABLE 2.2: TOURIST ARRIVAL BY MONTH, 1992-"
Year,Jan.,Feb. Mar. Apr. May Jun. Jul. Aug. Sep.
2005,"25,477","20,338 29,875 23,414 25,541 22,608 23,996 36,910 36,066"
2006,"28,769","25,728 36,873 21,983 22,870 26,210 25,183 33,150 33,362"
2007,"33,192","39,934 54,722 40,942 35,854 31,316 35,437 44,683 45,552"
2008,"36,913","46,675 58,735 38,475 30,410 24,349 25,427 40,011 41,622"
2009,"29,278","40,617 49,567 43,337 30,037 31,749 30,432 44,174 42,771"
2010,"33,645","49,264 63,058 45,509 32,542 33,263 38,991 54,672 54,848"
2011,"42,622","56,339 67,565 59,751 46,202 46,115 42,661 71,398 63,033"
2012,"52,501","66,459 89,151 69,796 50,317 53,630 49,995 71,964 66,383"
2013,"47,846","67,264 88,697 65,152 52,834 54,599 54,011 68,478 66,755"
2014,70196,69009 79914 80053 62558 50731 46546 59761 52894
2015,"38,616","58,523 79,187 65,729 17,569 18,368 22,967 38,606 39,050"
2016,"42,235","60,821 76,444 60,214 46,683 38,852 48,115 66,341 74,670"
2017,"62,632","84,061 106,291 88,591 62,773 55,956 42,240 73,778 68,634"
2018,"73,187","89,507 124,686 98,650 68,825 65,159 73,281 87,679 91,874"
Changes*,16.85,6.48 17.31 11.35 9.64 16.45 73.49 18.84 33.86
"* Figures in parenthesis represent percentage change over 2017",,
