"",TABLE 2.8: TOURIST ARRIVAL BY MAJOR NATIONALITIE
Nationality,2009 2010 2011 2012 2013 2014 2015
South Korea,19714 23205 1811
"%",
Malaysia,
"%",
Myanmar,
"%",
Netherlands,"11,147 13,471 16,836 15,445 10516 12320 4324"
"%",2.2 2.2 2.3 1.9 1.3 1.6 0.8
Spain,"13,006 13,712 16,037 14,549 10412 13110 4307"
"%",2.6 2.3 2.2 1.8 1.3 1.7 0.8
Sri Lanka,"36,362 45,531 59,884 69,476 32736 37546 4311"
"%",7.1 7.6 8.1 8.7 4.1 4.8 8.0
Thailand,40969 33422 3233
"%",5.1 4.2 6.0
U.S.A.,"32,043 36,425 42,875 48,985 47355 49830 5389"
"%",6.3 6 5.8 6.1 5.9 6.3 10.0
U.K.,"35,382 35,091 39,091 41,294 35668 36759 20446"
"%",6.9 5.8 5.3 5.1 4.5 4.7 3.8
Others,"140,574 168,590 179,158 214,638 78821 218639 17168"
"%",28.4 28.4 26.9 27.2 23.5 27.7 31.9
Total,"509,956 602,867 736,215 803,092 797,616 790,118 538,97"
