"",,,,,,,Month,,
Nationality,Year,,,,,,,,
"",,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,A
"",2016,"1,181","1,754","2,524","1,965","1,115",876,"1,094","1,"
Japan,2017,2027,2935,3586,2252,1329,955,944,"1,"
"",2018,2135,2761,4281,2393,1312,973,1284,1
"",2016,460,715,"1,092",849,703,535,772,"1,"
Malaysia,2017,1121,1333,1858,1833,1169,988,820,"1,"
"",2018,981,1487,2213,2154,1166,1234,1138,1
"",2016,"2,398","4,108","4,371","1,768",213,69,154,
Myanmar,2017,2748,5285,0,2483,122,51,63,"9,"
"",2018,3703,5353,6251,2783,106,84,107,
"",2016,433,684,972,"1,171",560,383,941,
Netherlands,2017,577,1100,1498,1732,655,388,866,
"",2018,589,1188,1650,1792,801,447,961,
