"",,,,,,,Month,
Nationality,Year,,,,,,,
"",,Jan.,Feb.,Mar.,Apr.,May,Jun. Jul.,Aug.
"",2016,"4,053","2,058","1,798","1,498",977,"948 1,796","2,169"
South Korea,2017,4579,3585,2810,2436,1746,1867 1981,"2,321"
"",2018,6075,2607,4021,2597,1554,1279 2415,1874
"",2016,412,454,818,630,499,"404 1,347","2,092"
Spain,2017,478,748,913,1397,706,607 1590,"2,938"
"",2018,555,728,1625,1109,964,745 2245,3505
"",2016,185,"7,065","8,709",868,467,"121 1,048","17,019"
Sri Lanka,2017,329,7069,10434,1070,404,301 949,"9,674"
"",2018,341,5841,10630,379,359,365 1457,16876
"",2016,"2,807","6,385","5,390","1,560",710,379 358,622
Thailand,,,,,,,,
"",2017,3981,8388,6455,2206,562,345 270,477
"",2018,4989,6841,6860,1791,902,1058 872,905
