SN,Country,Jan.,Feb.,Mar.,Apr.,May,Jun,Jly,Aug.,S
1,Australia,205,219,199,157,120,49,84,126,
2,Bangladesh,157,152,139,246,114,158,151,174,
3,Canada,72,152,143,86,70,27,35,44,
4,China,2103,1107,1385,1360,1194,1707,1922,1879,1
5,France,146,160,238,187,133,59,138,100,
6,Germany,89,222,332,237,229,106,65,133,
7,Italy,42,40,64,47,59,28,39,310,
8,Japan,168,336,230,58,170,40,29,60,
9,Malaysia,33,76,90,21,6,7,10,6,
10,Myanmar,3515,5154,6109,2642,35,6,2,26,
12,South Korea,2126,293,1491,313,164,131,109,171,
13,Spain,60,61,104,45,63,35,71,235,
14,Srilanka,83,5557,10418,52,77,53,1221,16548,8
15,Thailand,4631,6232,6251,43,331,625,349,274,
16,U.k,144,206,269,263,247,148,82,160,
17,U.S.A,384,538,427,211,276,267,236,247,
18,other,1802,2917,3570,3771,1489,3065,2205,2033,2
"",Total,15760,23422,31459,9739,4777,6511,6748,22526,1
