"",,,"BY MONTH, FY 2074/75"
Protected Area,Shrawan,Bhadra,Aswin Kartik Mansir Paush Magh Fag
Shivapuri Nagarjun National Park,631,954,1632 2670 1540 1351 860 144
Chitwan National Park,5826,3515,9973 15125 10110 9284 7642 125
Sagarmatha National Park,315,1597,9395 11352 3673 2271 1192 324
Bardiya National Park,116,83,536 1266 648 452 328 69
Langtang National Park,220,403,1684 1622 691 587 312 98
Makalu Barun National Park,0,5,260 602 75 19 0 11
Rara National Park,0,34,47 49 28 25 13 9
Khaptad National Park,2,0,4 0 3 0 0 2
Banke National Park,0,0,0 0 0 0 0 1
Shey Phoksundo National Park,10,29,182 121 7 1 0 0
Shukla Phata Wildlife Reserve,2,15,27 97 16 55 31 45
Parsa Wildlife Reserve,3,3,5 3 6 14 18 1
Koshi Tappu Wildlife Reserve,3,2,9 80 34 55 40 97
Dhorpatan Hunting Reserve,0,12,38 9 0 0 6 15
Apinappa Consersation Area,0,0,0 9 0 0 0 0
Krishnasar Conservation ARea,2,0,0 5 2 1 3 5
Kanchanjunga Conservation,,,
68Area,3,9,68 111 21 5 9
Annapurna Conservation Area,6362,8112,26505 23338 9388 7972 6496 129
Manaslu Conservation Area,44,432,1955 1974 258 65 54 33
Gaurishankar Conservation,,,
20Area,11,67,562 783 177 40 66
Total,13550,15272,52882 59216 26677 22197 17070 326
Source: Department of National Park and Wildlife Conservation,,,
