"",,,,Permit issued,
S.N.,,Mountain,,,
"",,,Female,Male,Total
1,Aichyn (6055m),,3,13,16
2,Amadablam(6814m.),,43,300,343
3,Anidesh Chuli (6960m),,,6,6
4,Annapurna(8091m.),,,9,9
5,Api (7132m),,2,8,10
6,Araniko Chuli (6039m.),,8,30,38
7,Ardang,,1,5,6
8,Baden Powell Scout Peak (Urkema Peak),,2,9,11
9,Baruntse (7162m.),,6,46,52
10,Bhemdang Ri (6150m.),,,5,5
11,Bhrikuti Shail (6361m.),,9,11,20
12,Chamlang(7319m.),,2,18,20
13,Changwatnang (6125m.),,,15,15
14,Chhopa bamare (6109m.),,,1,1
15,Dhampus (6012m.),,7,19,26
16,Dhawalagiri (8167m.),,10,79,89
17,Dhechyan Khang(6019m.),,,3,3
18,Everest(8848m.),,64,834,898
19,Ganchenpo (6387),,1,4,5
20,Gangapurna West (Lachenel),,,3,3
21,Gaugiri (6110m.),,11,22,33
22,Ghustong South,,2,16,18
23,Gurja Himal,,,22,22
