"","TABLE 5.7: NUMBER OF CLIMBERS BY COUNTRY, 2018",
"",Permission Success,
Country,Female Male  Total Female Male,Total
Albania,1,1
Algeria,2 2,
American Samoa,2 2 1,1
Angola,1 1 1,1
Argentina,5 5 3,3
Australia,19 49 68 4 23,27
Austria,9 50 59 4 19,23
Bahamas,1 1 1,1
Belarus,1 1,
Belgium,1 12 13 7,7
Brazil,3 11 14 2 9,11
Britain,2 15 17 1 6,7
Bulgaria,6 6 12 1,1
Canada,8 35 43 2 12,14
Chile,2 12 14 1 4,5
China,39 127 166 31 98,129
Costa Rica,1 1 1,1
Cyprus,1 1,
Czech Republic,3 29 32 8,8
Denmark,4 4 2,2
Ecuador,2 6 8,
Finland,2 2 4 2,2
France,49 113 162 10 42,52
Georgia,3 3 1,1
Germany,30 60 90 14 27,41
Greece,4 4 4,4
Netherlands,3 3 3,3
Hong Kong,3 3 3,3
Hungary,4 3 7 3 1,4
Iceland,1,1
India,13 74 87 13 67,80
Ireland,1 9 10 4,4
