"","TABLE 5.7: NUMBER OF CLIMBERS BY COUNTRY, 2018"
"",Permission Success
Country,Female Male  Total Female Male Total
South Korea,1 18 19 9 9
Spain,38 101 139 6 29 35
Sri Lanka,1 1 1 1
Swaziland,2 2 4 1 1
Sweden,4 10 14 1 6 7
Switzerland,27 30 57 6 22 28
Syrian Arab Republic,1 1
"Taiwan, Province of",
China,1 1
Thailand,1 2 3
Turkey,2 2
U.S. of America,24 146 170 13 87 100
Ukraine,3 15 18 1 10 11
United Arab Emirates,2 2
United Kingdom,12 70 82 6 37 43
Uruguay,1 1 2 1 1 2
Uzbekistan,1 1
"(blank)",7 7
Grand Total,434 2702 3136 193 1410 1603
