TABLE 5.8: NUMBER OF EXPEDITION TEAM MEMBERS ROYALTY
"BY PEAK, 2018"
Mountain  No. of member  Royalty USD Royalty Nrs.
Aichyn (6055m) 12 1500 171812.5
Amadablam (6814m.) 402 160600 18614607
Anidesh Chuli (6960m) 3 600 68820
Annapurna IV(7525m.) 8 2400 283440
Annapurna(8091m.) 3 3600 394920
Api (7132m) 8 2000 227300
Araniko Chuli (6034m) 22 2750 319050
Ardang (6034m) 5 625 71768.75
Ariniko Chuli (6039m.) 14 980 107163
Baden Powell Scout Peak (5890m) 31 3875 442256.25
Baruntse (7129m.) 38 11750 1320800
Bhemdang Ri (6150m.) 3 70 7949
Bhrikuti (6476m.) 15 1875 216937.5
Bhrikuti Shail (6361m.) 3 0 3000
Chamlang (7319m) 12 4250 462387.5
Changwathang (6130m) 12 1500 172837.5
Chhopa bamare (6109m.) 10 625 68644.25
Danfe Shail (6103m.) 13 1625 189150
Dhawalagiri (8167m.) 52 77400 8208000
Dhechyan Khang(6019m.) 2 500 52825
Everest  (8848m.) 346 3476000 362352600
Ganchenpo (6387) 3 750 77850
Gangapurna (7455m) 2 500 58125
Gaugiri (6110m.) 41 5170 576396.25
Ghustang (6465m) 10 1250 145500
Ghyun Himal I (6099m) 14 1750 204575
Gurja (7193m.) 11 2750 321187.5
Himjung (7092m.) 3 750 87187.5
Himlung (7126m.) 90 22750 2634737.5
Jobo Rinjang 3 600 69750
Kanchanjunga (8586m.) 44 79200 8226720
Khangri Shar (6811m) 5 1000 117100
Kumbhakarna (7710m) 2 600 68880
Lachama North (6628m) 2 400 46760
Langdung(6326m.) 15 1875 209168.75
Lhoste (8516m.) 111 194700 20295720
