Mongolia,,,,,,
Mexico,,,,,,
MMoaulnatyasiina,,,,,,
Lithuania,,,,,,
Kazakhstan,,,,,,
PumoJroirdan,,,,,,
PumoJrai pan,,,,,,
"(7161m)",,,,,,
Italy,,,,,,
Putha (7246m.),2,,,,2,
Ireland,,,,,,
Saribung,,,,5,,
Iran,,,,,,
Saribung,,,,,,
"(6346mIn.d)ia 2",1,,,,3,
Sari- Iceland,,,,,,
bungH(6u3n4g6army.),3,,,2,7,
ShaHrpohnug  IKI ong,,,,,,
"(6164Gmre)ece",,,,,,
TasaGrtesrem any,,,,,,
"(6343m)",,,,,,
Georgia,,,,,,
Thaknak Ri,,,,,,
"(DranFgraannacge Ri)",,,,,,
"(6757Fmin)land",,,,,,
ThapEan Pgelaankd,2,,,,,
ThapDae nPemaakr k,,,,,,
"(6C0z1e2chm R)epublic",,,,,1,
Thapa CroatiaPeak(Dhampus),,,,3,3,
ThoraCnhg iPneaak,,,,,,
"(6144m)",,,,5,,
Chile,,,,,,
Tilkang,,,,,,
"(6369Cman.)ada",,2,,,,
TobsBaru lPgeaarkia,,,,,,
"(6100m)  Britain",,,3,,,
Grand Total 1 1 1 3 27,23,1 7 11 7,1 14 5 129 1 8,2 1 2 52,1 41,4 3
Brazil,,,,,,
Belgium,,,,,,
Bahamas,,,,,,
Austria,,,,,,
Australia,,,,,,
Argentina,,,,,,
Andorra,,,,,,
Samoa,,,,,,
Albania,,,,,,
