"TABLE 6.3: COUNTRY-WISE VISIT TO BIRTH PLACE OF LORD BUDDHA,"
"LUMBINI (except Indian citizens), by  2018"
Jan. Feb. Mar. April May June July Aug. Sept. Oct. Nov. Dec. Total
Sri Lanka 82 5651 11567 1555 46 79 1141 16892 8585 5899 7869 593 59959
Thailand 2864 5064 5032 601 393 487 191 147 344 2148 3988 5418 26677
Myanmar 2283 4406 4883 2620 17 3 6 6 32 2315 4564 4198 25333
China 1390 1431 2277 1346 1328 762 992 1051 1047 1512 2736 2588 18460
Vietnam 330 212 1006 362 46 12 51 93 411 1974 1467 1229 7193
S. Korea 1000 406 1550 345 41 15 54 106 155 825 1041 955 6493
Germany 78 148 258 161 225 44 20 67 173 455 539 102 2270
Cambodia 131 653 593 39 1 14 80 498 63 2072
Malaysia 83 63 150 42 70 58 9 13 127 116 487 660 1878
France 53 186 207 252 71 43 52 93 86 351 362 93 1849
U.S.A. 36 105 278 88 102 79 48 72 96 294 225 203 1626
U.K. 108 177 174 89 43 36 47 114 83 261 260 100 1492
Japan 199 290 173 65 22 40 2 30 66 103 324 160 1474
Taiwan 88 183 85 24 3 2 28 2 112 127 429 331 1414
Australia 96 106 157 90 61 50 21 45 98 242 229 189 1384
Netherlands 45 170 225 67 50 2 9 50 129 247 269 74 1337
Indonesia 93 60 38 5 2 67 8 1 6 117 571 273 1241
Bhutan 415 231 25 2 11 5 4 13 3 2 37 248 996
Spain 26 5 23 28 30 32 36 188 87 88 88 39 670
Singapore 72 16 19 3 21 32 9 11 26 53 188 137 587
Other 242 232 341 239 125 131 122 284 415 1009 1121 514 4775
Total 9714 19795 29061 8023 2707 1979 2850 19279 12095 18218 27292 18167 169180
