"TABLE 2.1: TOURIST ARRIVAL AND AVERAGE LENGTH OF STAY, 1964-2018"
Average YearTotal By Air  By Land
Number Annual Growth Rate (%) Number Percent Number Percent Length of Stay
"1964 9,526 30.9 8,435 88.5 1,091 11.5 NA"
"1965 9,388 -1.4 8,303 88.4 1,085 11.6 NA"
"1966 12,567 33.9 11,206 89.2 1,361 10.8 NA"
"1967 18,093 44.0 15,064 83.3 3,029 16.7 NA"
"1968 24,209 33.8 19,717 81.4 4,492 18.6 NA"
"1969 34,901 44.2 28,130 80.6 6,771 19.4 NA"
"1970 45,970 31.7 36,508 79.4 9,462 20.6 NA"
"1971 49,914 8.6 40,369 80.9 9,545 19.1 NA"
"1972 52,930 6.0 42,484 80.3 10,446 19.7 NA"
"1973 68,047 28.6 55,791 82.0 12,256 18.0 NA"
"1974 89,838 32.0 74,170 82.6 15,668 17.4 13.20"
"1975 92,440 2.9 78,995 85.5 13,445 14.5 13.05"
"1976 105,108 13.7 90,498 86.1 14,610 13.9 12.41"
"1977 129,329 23.0 110,180 85.2 19,149 14.8 11.60"
"1978 156,123 20.7 130,034 83.3 26,089 16.7 11.84"
"1979 162,276 3.9 137,865 85.0 24,411 15.0 12.02"
"1980 162,897 0.4 139,387 85.6 23,510 14.4 11.18"
"1981 161,669 -0.8 142,084 87.9 19,585 12.1 10.49"
"1982 175,448 8.5 153,509 87.5 21,939 12.5 13.33"
"1983 179,405 2.3 152,470 85.0 26,935 15.0 11.53"
"1984 176,634 -1.5 149,920 84.9 26,714 15.1 11.55"
"1985 180,989 2.5 151,870 83.9 29,119 16.1 11.30"
"1986 223,331 23.4 182,745 81.8 40,586 18.2 11.16"
"1987 248,080 11.1 205,611 82.9 42,469 17.1 11.98"
"1988 265,943 7.2 234,945 88.3 30,998 11.7 12.00"
"1989 239,945 53.7 207,907 86.6 32,038 13.4 12.00"
"1990 254,885 6.2 226,421 88.8 28,464 11.2 12.00"
"1991 292,995 15.0 267,932 91.4 25,063 8.6 9.25"
"1992 334,353 14.1 300,496 89.9 33,857 10.1 10.14"
"1993 293,567 -12.2 254,140 86.6 39,427 13.4 11.94"
