"TABLE 2.1: TOURIST ARRIVAL AND AVERAGE LENGTH OF STAY,"
1964-2018
Total By Air  By Land
Average Length Year Growth Number Number Percent Number Percent of Stay
Rate (%)
"1994 326,531 11.2 289,381 88.6 37,150 11.4 10.00"
"1995 363,395 11.3 325,035 89.4 38,360 10.6 11.27"
"1996 393,613 8.3 343,246 87.2 50,367 12.8 13.50"
"1997 421,857 7.2 371,145 88.0 50,712 12.0 10.49"
"1998 463,684 9.9 398,008 85.8 65,676 14.2 10.76"
"1999 491,504 6.0 421,243 85.7 70,261 14.3 12.28"
"2000 463,646 -5.7 376,914 81.3 86,732 18.7 11.88"
"2001 361,237 -22.1 299,514 82.9 61,723 17.1 11.93"
"2002 275,468 -23.7 218,660 79.4 56,808 20.6 7.92"
"2003 338,132 22.7 275,438 81.5 62,694 18.5 9.60"
"2004 385,297 13.9 297,335 77.2 87,962 22.8 13.51"
"2005 375,398 -2.6 277,346 73.9 98,052 26.1 9.09"
"2006 383,926 2.3 283,819 73.9 100,107 26.1 10.20"
"2007 526,705 37.2 360,713 68.5 165,992 31.5 11.96"
"2008 500,277 -5.0 374,661 74.9 125,616 25.1 11.78"
"2009 509,956 1.9 379,322 74.4 130,634 25.6 11.32"
"2010 602,867 18.2 448,800 74.4 154,067 25.6 12.67"
"2011 736,215 22.1 545,221 74.1 190,994 25.9 13.12"
"2012 803,092 9.1 598,258 74.5 204,834 25.5 12.16"
"2013 797,616 -0.7 594,848 74.6 202,768 25.4 12.60"
2014 790118 -0.9 585981 74.2 204137 25.8 12.44
2015 538970 -32 407412 75.6 131558 24.4 13.16
2016 753002 40 572563 76 180439 24 13.4
2017 940218 25 760577 81 179641 19 12.6
2018 1173072 25 969287 82.63 203785 17.37 12.4
